,Review,Rating,Date,Restaurant Name
0,"I was fortunate enough to be invited to the ""soft opening"" of this restaurant last night.  It is located in the former home of cafe graffiti on Hanover St.  This restaurant features some really large windows that completely open up to give the ""outdoor seating experience"" to the entire restaurant.  They are set to open officially this Friday night.  The food was exceptional.  They brought us numerous dishes from the menu including mushrooms in truffle foam (to die for), filet, fried calamari, swordfish and many more.  The dishes were full of flavor and really got your mouth happy.  I wish I could give them an extra star for the amount of wine they poured in my glass.  I left there very very happy.  I will definitely be back once they officially open up.One side note they don't serve coffee or dessert.  The owner feels that is part of the entire North End experience.  He thinks after a good meal you should walk around, stop in the shops and end your visit with a stop at your favortie pastry shop.",5,8/14/2008,Carmelina's
1,"It's a nice, modern Italian restaurant, a good place for a date, somewhat loud with very tasty food and excellent service. We especially enjoyed the scallops and the accommodating attitude of the wait staff.",4,8/31/2008,Carmelina's
2,"I was visiting Boston on business from San Francisco and had never been to Hanover Street before.  I had a great meal at Ristorante Damiano.  I just wish I wasn't alone and could have ordered more!  The outstanding dishes I had were the Seared Scallops with Grapefruit Chile Glaze, Lamb Lollipops, and Pasta Carbonara.It was great to find this restaurant with a more modern edge - there were tons of other restaurants with very similar menus.  The service was also great.  I was sitting in the back of the restaurant and was able to watch the staff who seemed to work together very well.  They checked every glass they picked-up to make sure it was spotless!Please give this place a try if you haven't been there yet.  I just wished I could have ordered a cocktail here.",5,9/27/2008,Carmelina's
3,"I'm finding it hard to believe no one else gave a ""tapas"" take on Italian food sooner. I'm of the type that usually goes out and ends up sitting at the bar so I don't feel bad just ordering a couple appetizers as my meal. Of course, then you're limited to appetizer-like food. Damiano has entree-type offerings, indivudally prepared as small portions. Food was excellent, but there are a few unique characteristics of this place I enjoyed very much and warrant a higher rating:-No reservations (No, thats not a negative...when Friday night comes and you want dinner but didn't have the forethought to book a reservation and dont want to wait 1-2 hours there is now a better option!) -All wines available by the glass. -Lots of specials to choose from, so you don't get bored on your second and third visits.",5,10/9/2008,Carmelina's
4,This place has an amazing wine by the glass selection - it's the only place I've found that you can find a barolo by the glass!Beyond the wine - everything I've had there has been great.  They recently had a goat cheese topped fillet. Yum!  AND I have the mushroom risotto on a weekly basis!   Try it out!,5,11/5/2008,Carmelina's
5,"The food was wonderful - excellent quality and taste and nice presentation. My only criticism is that I felt rushed by the waiter. A couple of times he tried to take our plates away when we weren't finished. Also, when we arrived at about 7 (on a weeknight) he tried to seat us at a little table squeezed in on the far wall. Since there were only 2 other tables with people at them, I asked to be moved to one of the larger tables at at the window - the waiter was accomodating.",4,11/14/2008,Carmelina's
6,"Seems like Francesca wants to hunt me down and personally put the smack down on me! Good thing yelp is fairly anonymous. To reiterate my original message: I liked the risotto, I thought everything else we got was not that great. BUT I went early on in their time open, perhaps things are different now, as so many people have enjoyed it. I am so glad that everyone has had a good time! That's what I love-- people enjoying their dining out.",3,12/3/2008,Carmelina's
7,"This place was delish.Small, intimate, with a great (awesome, fantastic, cannot stress enough how lovely) staff. I went with three of my friends at random - we were just roaming around the North End looking for somewhere to eat.  We chose Damianos because there wasn't much of a line, but there were plenty of people inside, and their menu was intriguing. We were seated promptly, waited on attentively by an adorable waitress and a very charming waiter. We immediately had bread and water, and our drink orders taken. Damianos offers a selection of piattini (I think that's what they're called), and they're essentially Italian tapas - and they were effing amazing, seriously. Between the four of us, we tried eight different dishes, each of which was more delectable than the last. Skillfully prepared, attractively presented, with awesome fresh ingredients (and if you want my advice and you're into mushrooms, get the wild mushroom risotto and the mushroom dish (there are like five kinds of mushrooms in it) with truffle oil. Oh jesus. Oh mary). I think this'd be a great place to take a date, except sadly, you'll only get to try four dishes instead of eight, which is sad for you both! Nonetheless, the atmosphere, good wine, great service, and incredible food should console you well enough.  Yay!",4,12/7/2008,Carmelina's
8,"Sorry but some one needs to be negative and I guess it's going to be me. Now I am not going to say the food is awful, because it's not. It's just that you can get the same quality food almost anywhere else in the North End area and even better food at some places (if your willing to pay for it) the thing with Damianos is that the portions to price ratio is awful, for the same price I can get the same quality food and a lot more.... But like I said the food is good",2,12/13/2008,Carmelina's
9,"Damiano's puts a spin on the traditional North End eatery. While there are similarities to other establishments (romantic atmosphere, great wine, small dining room) the menu is much different. Unlike any other North End restaurant, tapas are served here. While portions are always a top priority of mine, 4 ""piatini's"" satisfied my dining parter and I. Music and atmosphere often set a tone for the meal. I was impressed with their trendy tunes. They did not distract dicussions, but were a pleasant cacophony in the background...I highly suggest Damianos and will dine there again. I purchased a gift card for my sister and brother in law because I think they will love it!",4,12/22/2008,Carmelina's
